instant_hour,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,temp_celsius_hour,atemp_celsius_hour,instant_day,weathersit_day,temp_celsius_day,atemp_celsius_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,temp_hour_cluster,hum_hour_cluster,windspeed_hour_cluster
1,2011-01-01,1,0,1,0,0,6,0,1,81.0,0.0,3,13,16,3.2799999999999994,3.0014000000000003,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,No/Very Low Wind
2,2011-01-01,1,0,1,1,0,6,0,1,80.0,0.0,8,32,40,2.34,1.9982000000000006,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,No/Very Low Wind
3,2011-01-01,1,0,1,2,0,6,0,1,80.0,0.0,5,27,32,2.34,1.9982000000000006,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,No/Very Low Wind
4,2011-01-01,1,0,1,3,0,6,0,1,75.0,0.0,3,10,13,3.2799999999999994,3.0014000000000003,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,No/Very Low Wind
5,2011-01-01,1,0,1,4,0,6,0,1,75.0,0.0,0,1,1,3.2799999999999994,3.0014000000000003,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,No/Very Low Wind
6,2011-01-01,1,0,1,5,0,6,0,2,75.0,6.0032,0,1,1,3.2799999999999994,1.0015999999999998,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,Light Wind
7,2011-01-01,1,0,1,6,0,6,0,1,80.0,0.0,2,0,2,2.34,1.9982000000000006,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,No/Very Low Wind
8,2011-01-01,1,0,1,7,0,6,0,1,86.0,0.0,1,2,3,1.4000000000000004,1.0015999999999998,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,No/Very Low Wind
9,2011-01-01,1,0,1,8,0,6,0,1,75.0,0.0,1,7,8,3.2799999999999994,3.0014000000000003,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,No/Very Low Wind
10,2011-01-01,1,0,1,9,0,6,0,1,76.0,0.0,8,6,14,7.040000000000001,7.000999999999998,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,No/Very Low Wind
11,2011-01-01,1,0,1,10,0,6,0,1,76.0,16.997899999999998,12,24,36,9.86,9.997399999999999,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,Moderate Wind
12,2011-01-01,1,0,1,11,0,6,0,1,81.0,19.0012,26,30,56,8.919999999999998,5.997799999999998,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Cold,High Humidity,Moderate Wind
13,2011-01-01,1,0,1,12,0,6,0,1,77.0,19.0012,29,55,84,11.739999999999998,11.997200000000003,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Mild,High Humidity,Moderate Wind
14,2011-01-01,1,0,1,13,0,6,0,2,72.0,19.999499999999998,47,47,94,13.620000000000001,13.997,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Mild,High Humidity,Moderate Wind
15,2011-01-01,1,0,1,14,0,6,0,2,72.0,19.0012,35,71,106,13.620000000000001,13.997,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Mild,High Humidity,Moderate Wind
16,2011-01-01,1,0,1,15,0,6,0,2,77.0,19.999499999999998,40,70,110,12.68,13.000399999999999,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Mild,High Humidity,Moderate Wind
17,2011-01-01,1,0,1,16,0,6,0,2,82.0,19.999499999999998,41,52,93,11.739999999999998,11.997200000000003,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Mild,High Humidity,Moderate Wind
18,2011-01-01,1,0,1,17,0,6,0,2,82.0,19.0012,15,52,67,12.68,13.000399999999999,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Mild,High Humidity,Moderate Wind
19,2011-01-01,1,0,1,18,0,6,0,3,88.0,16.997899999999998,9,26,35,11.739999999999998,11.997200000000003,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Mild,High Humidity,Moderate Wind
20,2011-01-01,1,0,1,19,0,6,0,3,88.0,16.997899999999998,6,31,37,11.739999999999998,11.997200000000003,1,2,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Mild,High Humidity,Moderate Wind
